id,LocId,State Id,City,Name,ARPLatitude,ARPLongitude,Elevation,Sectional,UNICOM,CTAF,ICAOId
2322,UNK,AK,UNALAKLEET,UNALAKLEET,063-53-18.6000N,160-47-56.8000W,27.3,MC GRATH,,123,PAUN
2323,UUO,AK,WILLOW,WILLOW,061-45-15.0800N,150-03-06.2600W,215.3,ANCHORAGE,,122.8,PAUO
2324,7AK,AK,AKUTAN,AKUTAN,054-08-40.6000N,165-36-14.7900W,129.3,DUTCH HARBOR,,122.9,PAUT
2325,VAK,AK,CHEVAK,CHEVAK,061-32-27.0000N,165-36-03.2000W,60.7,BETHEL,122.8,123,PAVA
2326,KVC,AK,KING COVE,KING COVE,055-06-58.9800N,162-15-59.5300W,148.9,COLD BAY,,122.9,PAVC
2327,VDZ,AK,VALDEZ,VALDEZ PIONEER FLD,061-08-03.2000N,146-14-41.1700W,128,ANCHORAGE,,122.9,PAVD
2328,VEE,AK,VENETIE,VENETIE,067-00-31.2300N,146-21-58.8900W,574.1,FAIRBANKS,,122.9,PAVE
2329,KVL,AK,KIVALINA,KIVALINA,067-44-10.1000N,164-33-48.6000W,18.4,NOME,122.8,122.8,PAVL
2330,WBQ,AK,BEAVER,BEAVER,066-21-44.0000N,147-24-23.4000W,364.7,FAIRBANKS,,122.9,PAWB
2331,SWD,AK,SEWARD,SEWARD,060-07-47.5900N,149-24-59.8700W,27.7,SEWARD,,122.9,PAWD
2332,WRG,AK,WRANGELL,WRANGELL,056-29-03.6000N,132-22-11.4000W,44,JUNEAU,,122.6,PAWG
2333,AWI,AK,WAINWRIGHT,WAINWRIGHT,070-38-16.8000N,159-59-41.1000W,45.1,CAPE LISBURNE,,122.8,PAWI
2334,WMO,AK,WHITE MOUNTAIN,WHITE MOUNTAIN,064-41-21.1000N,163-24-45.9000W,267.4,NOME,,122.9,PAWM
2335,WTK,AK,NOATAK,NOATAK,067-33-40.2000N,162-58-49.5000W,91.6,NOME,122.8,122.8,PAWN
2336,IEM,AK,WHITTIER,WHITTIER,060-46-37.8100N,148-43-10.7500W,39,ANCHORAGE,,122.9,PAWR
2337,IYS,AK,WASILLA,WASILLA,061-34-19.1500N,149-32-22.4000W,353.7,ANCHORAGE,,122.8,PAWS
2338,PXK,AK,PAXSON,PAXSON,063-01-28.4900N,145-30-01.9800W,2653,ANCHORAGE,,122.9,PAXK
2339,YAK,AK,YAKUTAT,YAKUTAT,059-30-11.9600N,139-39-36.9700W,39.7,JUNEAU,,123.6,PAYA
2340,AKI,AK,AKIAK,AKIAK,060-54-10.4300N,161-13-50.1000W,39.8,MC GRATH,,122.9,PFAK
2341,6A8,AK,ALLAKAKET,ALLAKAKET,066-33-06.6000N,152-37-19.8000W,441.1,FAIRBANKS,,122.9,PFAL
2342,C05,AK,CHENEGA,CHENEGA BAY,060-04-42.8200N,147-59-41.0400W,68.9,SEWARD,,122.9,PFCB
2343,CLP,AK,CLARKS POINT,CLARKS POINT,058-50-01.3000N,158-31-45.8000W,79.6,KODIAK,,122.9,PFCL
2344,ELI,AK,ELIM,ELIM,064-36-53.9000N,162-16-13.9000W,161.5,NOME,,122.8,PFEL
2345,Z09,AK,KASIGLUK,KASIGLUK,060-52-24.0000N,162-31-27.5000W,47.9,BETHEL,,122.9,PFKA
2346,9K2,AK,KOKHANOK,KOKHANOK,059-25-59.8300N,154-48-09.3300W,114.7,KODIAK,,122.9,PFKK
2347,2A9,AK,KOTLIK,KOTLIK,063-01-50.1000N,163-31-57.5000W,13.6,BETHEL,,122.9,PFKO
